,Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals,table_category,experiment_seria,benchmark_path
0,random_cube,5743.586553661549,0.1329533924458692,0.0590506755580172,2.19192009643853e-131,0.141320489606235,0.0,0.0623736281390601,1.4961493463773734e-146,0.3908251359415284,0.0,0.1133923774357466,0.0,-0.0030116923979235,-1.2042373603186094,1.4842584912585471e-05,0.0662266489488591,0.1330784541063442,0.1992996020670347,0.2655289174710217,0.0767602102935007,0.0058921298843024,0.0,100.0,100000000,43200,0,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
1,mati-sim 100k_my_params_cube,61214.48067054967,1.417001867373835,0.4602512338867486,0.0,0.3884450720985214,0.0,0.4029500708939866,0.0,0.397750496571084,0.0,0.3991200924302172,0.0,26.96023616384649,910.9877621083778,0.0,0.0,0.0,0.4850638416969263,669.0912458120885,14.19830076938443,201.5917447379025,2600778.619660455,2.299573228155174,100000,16690,26510,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
2,mati-sim 100mln_my_params_cube,61251.203066516005,1.417851922836019,0.4599583246694017,0.0,0.0299064244868372,5.314651510380089e-34,0.2512218224606353,0.0,0.0930545540049566,0.0,0.23147237626322,0.0,27.07425455178949,920.9056982163572,0.0011164750278968,0.0439085124506223,0.1486219041242409,0.422781009260437,653.8149508685738,14.091441932728708,198.56873574346497,2598290.1309933923,2.3030739279021963,100000000,43200,0,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
3,mati-sim 10k_my_params_cube,61183.06696074853,1.4162746981654752,0.4602828394722504,0.0,0.5335743721274604,0.0,0.5367340872732022,0.0,0.5367628817265102,0.0,0.5367987958630827,0.0,26.24504771397229,897.5626397431407,0.0,0.0,0.0,0.0,699.9512568567358,14.202344849908132,201.706599235712,2607385.893520259,2.2927294691204207,10000,3701,39499,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
4,mati-sim 10mln_my_params_cube,61257.421784440485,1.417995874639826,0.4599069513632496,0.0,0.0209963920417981,5.642060174877553e-17,0.2978816357175352,0.0,0.0927954664990579,0.0,0.2303872000350332,0.0,27.037218224180112,917.786092143821,0.0,0.0437103089076537,0.1471804333753462,0.4225056368890184,652.5624127839111,14.085845449302743,198.4110420216428,2597743.468531004,2.3037759034813017,10000000,43118,82,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
5,mati-sim 1mln_my_params_cube,61382.6084898199,1.4208937150421272,0.4598705516803714,0.0,0.1171778247206041,0.0,0.5160223807686186,0.0,0.0892077477011075,1.3713146074129848e-299,0.3517153248773621,0.0,26.88347366389453,906.2212952229144,0.0,0.0351256914091305,0.1391952230301441,0.4324791889694416,654.8821357002872,14.101785395762862,198.86035134815072,2598931.243291973,2.307344618331698,1000000,37140,6060,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
6,mc456_mc_100k_my_params_cube,52868.24482421626,1.2238019635235244,0.4448897235596648,0.0,0.309865781647538,0.0,0.3474968201089294,0.0,0.305119012148584,0.0,0.3293020968472427,0.0,19.53301790887213,473.4184493283209,0.0,0.0,0.0191157297397753,0.5319228863129682,290.35128825767885,8.83080454909767,77.98310898436408,2291941.9610414337,2.254691859151923,100000,22311,20889,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
7,mc456_mc_100mln_my_params_cube,52826.02082041739,1.2228245560281803,0.4453401733306405,0.0,0.0461969258433742,1.4791419038861558e-80,0.253093702331355,0.0,0.091043345317028,4.746310478774e-312,0.2436225274691194,0.0,19.655981338491763,476.1107202357581,0.0124045418095951,0.0637158852284515,0.1964851915892529,0.4775440321530739,282.2641320327638,8.804174414060325,77.51348711319447,2291495.2982617994,2.253360936080996,100000000,43200,0,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
8,mc456_mc_10k_my_params_cube,52248.02967643029,1.2094451313988492,0.4476287462161804,0.0,0.5246322135755681,0.0,0.530060032074067,0.0,0.5288005528363815,0.0,0.5294065351796531,0.0,19.467145183828247,494.7147132603389,0.0,0.0,0.0,0.0,361.9681578478731,9.18650074330256,84.39179590669849,2287842.4343289994,2.23273546386748,10000,4783,38417,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
9,mc456_mc_10mln_my_params_cube,52846.0565492916,1.2232883460484167,0.4449727528191298,0.0,0.0392890500776987,2.2304230219984004e-58,0.2957949477510217,0.0,0.0908875077964008,5.5484916102514e-311,0.2430658258424842,0.0,19.656875266633964,476.3895276819979,0.003674095196541,0.0631808796348848,0.1947800224932762,0.4780044493273144,284.3057328115238,8.80420567601169,77.51403758551646,2291877.277790925,2.2538290882903667,10000000,43200,0,print_stats_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
